fid,xcoord,ycoord,date_day,date_month,date_year,SPECIES,daily_text_comment_rem,layer,code,cellcode
1,7.46584296,44.13124043,29,7,2012,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
2,7.46584296,44.13124043,29,7,2012,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
3,7.46584296,44.13124043,3,8,2013,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
4,7.46584296,44.13124043,3,8,2013,Coenagrion puella,,export_20241130,Alpine,10kmE411N233
5,7.46584296,44.13124043,3,8,2013,Anax ephippiger,,export_20241130,Alpine,10kmE411N233
6,7.46584296,44.13124043,3,8,2013,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
7,7.46584296,44.13124043,3,8,2013,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
8,7.46584296,44.13124043,11,8,2014,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
9,7.46584296,44.13124043,19,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
10,7.46584296,44.13124043,19,7,2015,Anax ephippiger,,export_20241130,Alpine,10kmE411N233
11,7.46584296,44.13124043,19,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
12,7.46584296,44.13124043,19,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
13,7.46584296,44.13124043,5,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
14,7.46584296,44.13124043,5,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
15,7.46584296,44.13124043,5,8,2015,Anax ephippiger,,export_20241130,Alpine,10kmE411N233
16,7.46584296,44.13124043,5,8,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
17,7.465686,44.13169999,4,8,2018,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
18,7.466098,44.13167399,4,8,2018,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
19,7.46584296,44.13124043,4,8,2018,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
20,7.465898,44.13184999,20,8,2018,Calopteryx splendens,,export_20241130,Alpine,10kmE411N233
21,7.465769,44.13158399,20,8,2018,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
22,7.465546,44.13163899,20,8,2018,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
23,7.465825,44.13170799,20,8,2018,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
24,7.46584296,44.13124043,20,8,2018,Calopteryx splendens,,export_20241130,Alpine,10kmE411N233
25,7.46584296,44.13124043,20,8,2018,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
26,7.46584296,44.13124043,20,8,2018,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
27,7.46584296,44.13124043,20,8,2018,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
28,7.465413,44.13170899,10,8,2019,Anax ephippiger,,export_20241130,Alpine,10kmE411N233
29,7.465453,44.13192299,10,8,2019,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
30,7.465515,44.13174699,10,8,2019,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
31,7.46584296,44.13124043,10,8,2019,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
32,7.46584296,44.13124043,26,7,2020,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
33,7.459808,44.13368299,26,7,2020,Aeshna juncea,,export_20241130,Alpine,10kmE411N233
34,7.465794,44.13169499,1,8,2020,Anax ephippiger,,export_20241130,Alpine,10kmE411N233
35,7.465723,44.13179599,1,8,2020,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE411N233
36,7.465784,44.13165999,26,6,2022,Somatochlora alpestris,,export_20241130,Alpine,10kmE411N233
37,7.714035871,44.09711338,10,8,2011,Aeshna juncea,,rimappato20230915,Alpine,10kmE413N233
38,7.700939579,44.11780776,10,8,2011,Aeshna juncea,,rimappato20230915,Alpine,10kmE413N233
39,7.858755175,44.13986081,24,10,2014,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
40,7.858755175,44.13986081,24,10,2014,Sympetrum striolatum,,export_20241130,Alpine,10kmE414N233
41,7.818390952,44.13676108,13,8,2015,Libellula depressa,,export_20241130,Alpine,10kmE414N233
42,7.818390952,44.13676108,13,8,2015,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
43,7.818390952,44.13676108,13,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
44,7.858947513,44.13984906,13,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE414N233
45,7.858947513,44.13984906,13,8,2015,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
