"","X.1","X","N","species","family","Temperature.Index","HV","IW","LATIN_TAXON","hc_ward","Temp_Group","HV_Group","IW_Group"
"1",1,1,1,"Aeshna affinis","Ae",10.877,4.1,4,"Aeshna affinis","1","2","4","4"
"2",2,2,2,"Aeshna cyanea","Ae",8.813,3,2,"Aeshna cyanea","2","1","3","2"
"3",3,3,3,"Aeshna isoceles","Ae",10.379,3.7,4,"Aeshna isoceles","1","2","3","4"
"4",4,4,4,"Aeshna mixta","Ae",10.251,3.5,3,"Aeshna mixta","2","2","3","3"
"5",5,5,5,"Anax ephippiger","Ae",13.05,3.5,3,"Anax ephippiger","3","3","3","3"
"6",6,6,6,"Anax imperator","Ae",11.398,3,1,"Anax imperator","2","3","3","1"
"7",7,7,7,"Anax parthenope","Ae",11.823,3.5,3,"Anax parthenope","3","3","3","3"
"8",8,8,8,"Boyeria irene","Ae",12.526,1.3,4,"Boyeria irene","4","3","1","4"
"9",9,9,9,"Calopteryx splendens","Ca",9.391,1.1,4,"Calopteryx splendens","4","2","1","4"
"10",10,10,10,"Calopteryx virgo","Ca",8.946,1,5,"Calopteryx virgo","4","1","1","5"
"11",11,11,11,"Ceriagrion tenellum","Co",12.199,3.3,3,"Ceriagrion tenellum","3","3","3","3"
"12",12,12,12,"Chalcolestes viridis","Le",10.616,2.5,1,"Chalcolestes viridis","2","2","2","1"
"13",13,13,13,"Coenagrion puella","Co",9.297,3.2,1,"Coenagrion puella","2","2","3","1"
"14",14,14,14,"Coenagrion pulchellum","Co",8.303,3.5,3,"Coenagrion pulchellum","1","1","3","3"
"15",15,15,15,"Coenagrion scitulum","Co",12.061,3.2,3,"Coenagrion scitulum","3","3","3","3"
"16",16,16,16,"Cordulegaster boltonii","Cr",8.769,1,5,"Cordulegaster boltonii","4","1","1","5"
"17",17,17,17,"Cordulia aenea","Cd",7.348,3.5,3,"Cordulia aenea","1","1","3","3"
"18",18,18,18,"Crocothemis erythraea","Li",12.202,3,2,"Crocothemis erythraea","3","3","3","2"
"19",19,19,19,"Enallagma cyathigerum","Co",8.463,3.2,2,"Enallagma cyathigerum","2","1","3","2"
"20",20,20,20,"Erythromma lindenii","Co",12.123,2.5,2,"Erythromma lindenii","3","3","2","2"
"21",21,21,21,"Erythromma viridulum","Co",10.644,2.9,3,"Erythromma viridulum","2","2","3","3"
"22",22,22,22,"Gomphus vulgatissimus","Go",8.606,1.3,4,"Gomphus vulgatissimus","4","1","1","4"
"23",23,23,23,"Ischnura elegans","Co",9.815,2.7,1,"Ischnura elegans","2","2","2","1"
"24",24,24,24,"Ischnura pumilio","Co",10.454,2.7,2,"Ischnura pumilio","2","2","2","2"
"25",25,25,25,"Lestes dryas","Le",9.067,4.8,4,"Lestes dryas","1","1","4","4"
"26",26,26,26,"Lestes sponsa","Le",7.572,3.9,2,"Lestes sponsa","1","1","4","2"
"27",27,27,27,"Lestes virens","Le",10.193,4.6,3,"Lestes virens","1","2","4","3"
"28",28,28,28,"Libellula depressa","Li",9.67,3.3,2,"Libellula depressa","2","2","3","2"
"29",29,29,29,"Libellula fulva","Li",10.326,2.2,3,"Libellula fulva","3","2","2","3"
"30",30,30,30,"Libellula quadrimaculata","Li",7.881,3.6,3,"Libellula quadrimaculata","1","1","3","3"
"31",31,31,31,"Onychogomphus forcipatus","Go",10.318,1.1,5,"Onychogomphus forcipatus","4","2","1","5"
