LATIN_TAXON,count
Aeshna affinis,320
Aeshna caerulea,2
Aeshna cyanea,1719
Aeshna grandis,9
Aeshna isoceles,429
Aeshna juncea,7
Aeshna mixta,1601
,2
Anax ephippiger,902
Anax imperator,4002
Anax parthenope,2003
Boyeria irene,184
Brachytron pratense,78
Calopteryx haemorrhoidalis,8
,2
Calopteryx splendens,7155
Calopteryx splendens,724
Calopteryx splendens,1
Calopteryx virgo,2260
Calopteryx virgo,43
Calopteryx virgo,239
Calopteryx virgo,16
Ceriagrion tenellum,547
Chalcolestes parvidens,10
Chalcolestes viridis,1401
Coenagrion caerulescens,46
Coenagrion castellani,14
Coenagrion hastulatum,5
Coenagrion mercuriale,42
Coenagrion puella,2203
Coenagrion pulchellum,192
Coenagrion scitulum,176
Coenagrion sp.,2
Cordulegaster bidentata,50
Cordulegaster boltonii,669
Cordulegaster sp.,44
Cordulia aenea,190
Crocothemis erythraea,5129
Enallagma cyathigerum,672
Erythromma lindenii,908
Erythromma najas,32
Erythromma viridulum,687
Gomphus flavipes,308
Gomphus vulgatissimus,1186
Ischnura elegans,7547
Ischnura pumilio,1319
Lestes barbarus,17
Lestes dryas,92
Lestes parvidens,46
Lestes sp.,57
Lestes sponsa,544
Lestes virens,172
Lestes virens vestalis,116
Leucorrhinia pectoralis,2
Libellula depressa,2228
Libellula fulva,1667
Libellula quadrimaculata,458
Nehalennia speciosa,5
No odonata,33
Odonata sp.,265
Onychogomphus forcipatus,1947
Onychogomphus forcipatus forcipatus,6
Onychogomphus forcipatus unguiculatus,1146
Onychogomphus sp.,7
Onychogomphus uncatus,385
Ophiogomphus cecilia,472
Orthetrum albistylum,5350
Orthetrum brunneum,2156
Orthetrum cancellatum,4647
Orthetrum coerulescens,3235
Orthetrum coerulescens coerulescens,10
Orthetrum sp.,12
Oxygastra curtisi,65
Oxygastra curtisii,415
Pantala flavescens,1
Platycnemis pennipes,6026
Pyrrhosoma nymphula,804
Selysiothemis nigra,53
Somatochlora arctica,1
Somatochlora flavomaculata,391
Somatochlora meridionalis,20
Somatochlora metallica,1154
Somatochlora sp.,13
Stylurus flavipes,349
Sympecma fusca,729
Sympecma paedisca,925
Sympecma sp.,1
Sympetrum danae,9
Sympetrum depressiusculum,998
Sympetrum flaveolum,17
Sympetrum fonscolombei,3636
Sympetrum fonscolombii,1026
Sympetrum meridionale,211
Sympetrum pedemontanum,2406
Sympetrum sanguineum,1863
Sympetrum sp.,32
Sympetrum striolatum,2533
Sympetrum vulgatum,64
Trithemis annulata,1074
