id,scientific_name,observed_on,geoprivacy1,locality,x,y,accuracyf,user_login,user_name,quality_grade,url,num_identification_agreements,num_identification_disagreements,description,tag_list,field.sex,DATE_YEAR,accuracy,cellcode,TIN_11,cellcode20
154964131,Sympecma paedisca,2023/04/14,,,7.5432150242,45.1482813259,"123",alessandro_bergamo,Alessandro Bergamo,research,https://www.inaturalist.org/observations/154964131,2,0,,,,2023,123,10kmE412N245,288.916412353516,6
189391875,Sympecma paedisca,2023/10/27,,,7.5864707154,45.2693948341,"344",gingertea,Lorenza Piretta,research,https://www.inaturalist.org/observations/189391875,3,0,,,,2023,344,10kmE413N246,422.537994384766,13
249529138,Sympecma paedisca,2024/10/28,,,7.6177605,45.2791099,"4715",gingertea,Lorenza Piretta,research,https://www.inaturalist.org/observations/249529138,3,0,,,,2024,4715,10kmE413N246,397.670013427734,13
249530012,Sympecma paedisca,2024/10/28,,,7.6177605,45.2791099,"4715",gingertea,Lorenza Piretta,research,https://www.inaturalist.org/observations/249530012,1,0,,,,2024,4715,10kmE413N246,397.670013427734,13
250039885,Sympecma paedisca,2024/10/19,,,7.5876986454,45.2705272347,"343",paomar,paolomarotto,research,https://www.inaturalist.org/observations/250039885,0,0,,,,2024,343,10kmE413N246,427.456390380859,13
88594172,Ophiogomphus cecilia,2021/07/25,,,7.7675761825,45.160964131,"244",alf_torino,Alfonso,research,https://www.inaturalist.org/observations/88594172,2,0,,,,2021,,10kmE414N245,211.749206542969,14
182807691,Ophiogomphus cecilia,2016/07/20,,,7.6765992484,45.0528152301,"46",ivan1973,Ivan Di Già,research,https://www.inaturalist.org/observations/182807691,1,0,individuo in dispersione morto da impatto con vetrata di casa,,,2016,,10kmE413N244,237.45329284668,14
235317536,Ophiogomphus cecilia,2024/08/12,,,7.604069127,44.9960584062,"49",ivan1973,Ivan Di Già,needs_id,https://www.inaturalist.org/observations/235317536,0,0,,,,2024,,10kmE413N243,241.151992797852,15
228843677,Coenagrion castellani,2024/06/16,,,7.698462,44.505511,NA,erlandreflingnielsen,Erland Refling Nielsen,research,https://www.inaturalist.org/observations/228843677,1,0,"A male.
June 2024.
Fossana, Piedmont, Italy.",Coenagrion castellani,,2024,10,10kmE413N238,335.819396972656,17
85198421,Coenagrion castellani,2021/07/01,open_odonata,Fossano CN,7.7220266667,44.57884,"1",sindic,Roberto Sindaco,research,https://www.inaturalist.org/observations/85198421,3,0,,,,2021,99,10kmE413N238,340.104614257812,17
228843692,Coenagrion castellani,2024/06/16,,,7.698655,44.505496,NA,erlandreflingnielsen,Erland Refling Nielsen,research,https://www.inaturalist.org/observations/228843692,1,0,"A male.
June 2024.
Fossana, Piedmont, Italy.",Coenagrion castellani,,2024,99,10kmE413N238,334.782897949219,17
149927743,Coenagrion castellani,2018/06/03,,,7.697275899,44.5047420984,"31",bruno356,Bruno Caula,research,https://www.inaturalist.org/observations/149927743,3,1,,,,2018,31,10kmE413N237,335.279907226562,18
171209917,Coenagrion castellani,2023/06/22,,,7.6772084246,44.4925088412,"176",philbenstead,Phil Benstead,research,https://www.inaturalist.org/observations/171209917,2,0,,,,2023,176,10kmE413N237,354.650604248047,18
172402016,Coenagrion castellani,2023/07/08,,,7.6978467733,44.504563871,"61",paomar,paolomarotto,research,https://www.inaturalist.org/observations/172402016,3,0,,,,2023,61,10kmE413N237,335.125793457031,18
