N,species,Family,Temperature Index,HV,IW
1,Aeshna affinis,Ae,10.877,4.1,4
2,Aeshna cyanea,Ae,8.813,3,2
3,Aeshna isoceles,Ae,10.379,3.7,4
4,Aeshna mixta,Ae,10.251,3.5,3
5,Anax ephippiger,Ae,13.050,3.5,3
6,Anax imperator,Ae,11.398,3,1
7,Anax parthenope,Ae,11.823,3.5,3
8,Boyeria irene,Ae,12.526,1.3,4
9,Calopteryx splendens,Ca,9.391,1.1,4
10,Calopteryx virgo,Ca,8.946,1,5
11,Ceriagrion tenellum,Co,12.199,3.3,3
12,Chalcolestes viridis,Le,10.616,2.5,1
13,Coenagrion puella,Co,9.297,3.2,1
14,Coenagrion pulchellum,Co,8.303,3.5,3
15,Coenagrion scitulum,Co,12.061,3.2,3
16,Cordulegaster boltonii,Cr,8.769,1,5
17,Cordulia aenea,Cd,7.348,3.5,3
18,Crocothemis erythraea,Li,12.202,3,2
19,Enallagma cyathigerum,Co,8.463,3.2,2
20,Erythromma lindenii,Co,12.123,2.5,2
21,Erythromma viridulum,Co,10.644,2.9,3
22,Gomphus vulgatissimus,Go,8.606,1.3,4
23,Ischnura elegans,Co,9.815,2.7,1
24,Ischnura pumilio,Co,10.454,2.7,2
25,Lestes dryas,Le,9.067,4.8,4
26,Lestes sponsa,Le,7.572,3.9,2
27,Lestes virens,Le,10.193,4.6,3
28,Libellula depressa,Li,9.670,3.3,2
29,Libellula fulva,Li,10.326,2.2,3
30,Libellula quadrimaculata,Li,7.881,3.6,3
31,Onychogomphus forcipatus,Go,10.318,1.1,5
32,Onychogomphus uncatus,Go,12.778,1.1,5
33,Ophiogomphus cecilia,Go,7.506,1,5
34,Orthetrum albistylum,Li,9.947,3,2
35,Orthetrum brunneum,Li,11.719,1.8,3
36,Orthetrum cancellatum,Li,10.406,2.7,2
37,Orthetrum coerulescens,Li,11.266,2.2,2
38,Oxygastra curtisii,Sy,12.218,2,4
39,Platycnemis pennipes,Pl,9.427,1.8,2
40,Pyrrhosoma nymphula,Co,8.815,2.5,2
41,Selysiothemis nigra,Li,15.159,3.5,3
42,Somatochlora flavomaculata,Cd,7.769,3.6,3
43,Somatochlora metallica,Cd,6.412,2.2,2
44,Stylurus flavipes,Go,9.097,1,5
45,Sympecma fusca,Le,10.848,3.4,2
46,Sympecma paedisca,Le,6.787,3.5,2
47,Sympetrum depressiusculum,Li,9.040,3,3
48,Sympetrum fonscolombii,Li,12.590,3.2,2
49,Sympetrum meridionale,Li,11.990,4.5,3
50,Sympetrum pedemontanum,Li,8.539,2.2,2
51,Sympetrum sanguineum,Li,9.326,3.3,2
52,Sympetrum striolatum,Li,10.817,3.3,1
53,Trithemis annulata,Li,15.378,2.7,2
