"","x"
"1","Aeshna affinis"
"2","Aeshna cyanea"
"3","Aeshna isoceles"
"4","Aeshna mixta"
"5","Anax ephippiger"
"6","Anax imperator"
"7","Anax parthenope"
"8","Boyeria irene"
"9","Calopteryx splendens"
"10","Calopteryx virgo"
"11","Ceriagrion tenellum"
"12","Chalcolestes viridis"
"13","Coenagrion puella"
"14","Coenagrion pulchellum"
"15","Coenagrion scitulum"
"16","Cordulegaster boltonii"
"17","Cordulia aenea"
"18","Crocothemis erythraea"
"19","Enallagma cyathigerum"
"20","Erythromma lindenii"
"21","Erythromma viridulum"
"22","Gomphus vulgatissimus"
"23","Ischnura elegans"
"24","Ischnura pumilio"
"25","Lestes dryas"
"26","Lestes sponsa"
"27","Lestes virens"
"28","Libellula depressa"
"29","Libellula fulva"
"30","Libellula quadrimaculata"
"31","Onychogomphus forcipatus"
"32","Onychogomphus uncatus"
"33","Ophiogomphus cecilia"
"34","Orthetrum albistylum"
"35","Orthetrum brunneum"
"36","Orthetrum cancellatum"
"37","Orthetrum coerulescens"
"38","Oxygastra curtisii"
"39","Platycnemis pennipes"
"40","Pyrrhosoma nymphula"
"41","Selysiothemis nigra"
"42","Somatochlora flavomaculata"
"43","Somatochlora metallica"
"44","Stylurus flavipes"
"45","Sympecma fusca"
"46","Sympecma paedisca"
"47","Sympetrum depressiusculum"
"48","Sympetrum fonscolombii"
"49","Sympetrum meridionale"
"50","Sympetrum pedemontanum"
"51","Sympetrum sanguineum"
"52","Sympetrum striolatum"
"53","Trithemis annulata"
