"","Anno","Group","Occupancy","Lower","Upper"
"2",2005,1,100,90.7060250078629,110.150537900626
"3",2006,1,93.2051412459931,86.3441477913782,100.613529854101
"4",2007,1,87.4979956969826,81.8771650997975,93.4663575475721
"5",2008,1,83.5154324617329,78.4612371591769,88.7090209810386
"6",2009,1,80.9136632095923,76.4116803948046,85.5033039906101
"7",2010,1,78.8028416316251,74.7299927932683,83.1134682506143
"8",2011,1,76.7843844094947,72.785541503992,80.8786630863853
"9",2012,1,75.8043459245413,71.8645547784631,79.7225028603291
"10",2013,1,74.441992113119,70.5783265269756,78.2510262089849
"11",2014,1,73.8982698120613,70.3155628392356,77.5678406208608
"12",2015,1,73.143986209228,69.7374827262075,76.5693386074486
"13",2016,1,70.7377364975376,67.3200567989991,74.2044654177882
"14",2017,1,70.2606277109187,66.9245974489503,73.6789380423081
"15",2018,1,70.0129758548201,66.741976685971,73.36362161702
"16",2019,1,69.0076419855267,65.7434746725588,72.3125668660599
"17",2020,1,67.7249230890688,64.3771034963106,71.1038539024557
"18",2021,1,67.361573461662,64.0617870710225,70.6584694517363
"19",2022,1,64.7123666050947,61.3815974560741,68.0557951246712
"20",2023,1,63.0595946875958,59.8050153296338,66.4266602606829
"21",2024,1,63.725905007774,60.2254372300179,67.162398586355
"22",2025,1,61.6230130539837,58.0707749905495,65.4281582472708
"23",2005,2,100,94.5192778679072,105.69807629265
"31",2006,2,95.5172247739337,91.6950492357189,99.5342632895498
"41",2007,2,92.4606175541032,89.3459244855811,95.6153161291372
"51",2008,2,90.5820568044765,87.8150341989744,93.3579128228952
"61",2009,2,88.8624622944931,86.3494706961496,91.404707974466
"71",2010,2,87.4899516995307,85.043594887014,90.0196481849886
"81",2011,2,86.1999273501648,83.9086245021159,88.5679418787236
"91",2012,2,85.4681676586473,83.1959686790403,87.7622448787465
"101",2013,2,84.8095798304457,82.6152861565343,87.049589055671
"111",2014,2,84.7604447042738,82.6542182802024,86.9704050753293
"121",2015,2,83.3565537911723,81.308090614393,85.4131201286087
"131",2016,2,82.8315933289059,80.8996332491303,84.8324376061027
"141",2017,2,82.4260775018757,80.4773186873077,84.436517704394
"151",2018,2,82.3969847209501,80.4773186873077,84.4101230442801
"161",2019,2,81.4332628908729,79.4743216029792,83.3807312998377
"171",2020,2,80.5095964238874,78.4977191787646,82.5361021761926
"181",2021,2,80.2551519003888,78.2337725776255,82.2193662548257
"191",2022,2,78.4783337672819,76.4125410297658,80.4509240271938
"201",2023,2,79.54853165626,77.4683274343222,81.6386837323197
"211",2024,2,80.2232202271312,78.1809832573977,82.3249448952813
"221",2025,2,79.8519294760492,77.6266953950056,82.1137876143701
"24",2005,3,100,91.327357578132,109.028281358568
"32",2006,3,105.289028184654,99.3839242157393,111.556984755774
"42",2007,3,107.002260673906,102.206662891689,111.792212978769
"52",2008,3,107.385748018562,103.088768727924,111.498177700025
"62",2009,3,107.279424861768,103.265189895171,111.20414242128
"72",2010,3,107.566939091442,103.618032229664,111.439370644276
"82",2011,3,107.437027771175,103.735646341162,111.145335365531
"92",2012,3,107.849500460199,104.088488675656,111.556984755774
"102",2013,3,107.093620702071,103.500418118166,110.733685975288
"112",2014,3,107.21035924185,103.676839285413,110.764559679556
"122",2015,3,107.747411411418,104.323716898652,111.086528309782
"132",2016,3,106.006996994176,102.73592639343,109.322316637313
"142",2017,3,106.03240164226,102.618312281932,109.353190341581
"152",2018,3,106.546767356544,103.206382839422,109.910387194803
"162",2019,3,109.082684419254,105.852700348125,112.352350184778
"172",2020,3,106.858810662582,103.559225173915,110.145615417799
"182",2021,3,106.59088571659,103.32399695092,109.969194250552
"192",2022,3,106.353344416068,103.147575783673,109.675158971807
"202",2023,3,106.34051140968,103.088768727924,109.675158971807
"212",2024,3,104.281153658524,100.854100609463,107.79333318784
"222",2025,3,106.214964879773,102.559505226183,109.851580139054
"25",2005,4,100,36.3319284987638,188.926028193572
"33",2006,4,150.630560803499,79.9302426972804,247.057113791594
"43",2007,4,192.187827996573,108.995785496291,283.389042290358
"53",2008,4,227.589659125767,138.061328295303,326.987356488874
"63",2009,4,256.852201714861,167.126871094314,356.052899287885
"73",2010,4,284.430557573987,188.926028193572,385.118442086896
"83",2011,4,308.475835230658,210.72518529283,421.45037058566
"93",2012,4,333.241292447792,232.524342392088,450.515913384671
"103",2013,4,355.000080737606,247.057113791594,479.581456183682
"113",2014,4,371.998579017895,261.589885191099,501.380613282941
"123",2015,4,382.754444605908,268.856270890852,508.646998982693
"133",2016,4,405.188199389612,283.389042290358,537.712541781705
"143",2017,4,444.533255825208,319.720970789122,581.310855980221
"153",2018,4,502.331702433424,377.852056387144,646.708327277996
"163",2019,4,559.799124804201,428.716756285413,704.839412876018
"173",2020,4,642.539036638719,515.913384682446,784.769655573298
"183",2021,4,721.411616528588,588.577241679974,864.699898270579
"193",2022,4,781.530462303585,650.159860485378,930.097369568354
"203",2023,4,891.349771512519,762.97049847404,1039.09315506465
"213",2024,4,852.978410760687,712.105798575771,1010.02761226563
"223",2025,4,828.195191267399,683.04025577676,995.494840866129
