"","species","variable","n","min","max","median","iqr","mean","sd","se","ci","y2005","y2025","delta"
"1","Aeshna affinis","Occupancy",21,0.193,0.463,0.254,0.141,0.285,0.088,0.019,0.04,0.463,0.254,-0.209
"2","Aeshna cyanea","Occupancy",21,0.513,0.603,0.562,0.03,0.557,0.023,0.005,0.011,0.603,0.513,-0.09
"3","Aeshna isoceles","Occupancy",21,0.201,0.526,0.278,0.163,0.311,0.104,0.023,0.047,0.526,0.213,-0.313
"4","Aeshna mixta","Occupancy",21,0.507,0.555,0.526,0.012,0.529,0.011,0.002,0.005,0.555,0.542,-0.013
"5","Anax ephippiger","Occupancy",21,0.167,0.496,0.237,0.159,0.273,0.098,0.021,0.045,0.199,0.496,0.297
"6","Anax imperator","Occupancy",21,0.725,0.786,0.764,0.027,0.762,0.017,0.004,0.008,0.725,0.786,0.061
"7","Anax parthenope","Occupancy",21,0.533,0.724,0.602,0.118,0.611,0.062,0.013,0.028,0.566,0.724,0.158
"8","Boyeria irene","Occupancy",21,0.094,0.173,0.11,0.035,0.118,0.024,0.005,0.011,0.141,0.173,0.032
"9","Calopteryx splendens","Occupancy",21,0.766,0.863,0.822,0.062,0.816,0.034,0.007,0.015,0.863,0.768,-0.095
"10","Calopteryx virgo","Occupancy",21,0.48,0.557,0.539,0.031,0.53,0.024,0.005,0.011,0.538,0.48,-0.058
"11","Ceriagrion tenellum","Occupancy",21,0.231,0.256,0.242,0.014,0.243,0.008,0.002,0.004,0.237,0.246,0.009
"12","Chalcolestes viridis","Occupancy",21,0.509,0.715,0.577,0.085,0.587,0.056,0.012,0.025,0.715,0.509,-0.206
"13","Coenagrion puella","Occupancy",21,0.442,0.715,0.505,0.089,0.529,0.072,0.016,0.033,0.715,0.452,-0.263
"14","Coenagrion pulchellum","Occupancy",21,0.061,0.305,0.125,0.115,0.148,0.076,0.017,0.035,0.305,0.061,-0.244
"15","Coenagrion scitulum","Occupancy",21,0.039,0.164,0.075,0.054,0.082,0.038,0.008,0.017,0.043,0.164,0.121
"16","Cordulegaster boltonii","Occupancy",21,0.274,0.314,0.291,0.012,0.293,0.01,0.002,0.004,0.29,0.289,-0.001
"17","Cordulia aenea","Occupancy",21,0.155,0.338,0.165,0.045,0.191,0.05,0.011,0.023,0.338,0.157,-0.181
"18","Crocothemis erythraea","Occupancy",21,0.703,0.824,0.792,0.033,0.784,0.031,0.007,0.014,0.703,0.81,0.107
"19","Enallagma cyathigerum","Occupancy",21,0.21,0.258,0.243,0.014,0.241,0.012,0.003,0.006,0.21,0.248,0.038
"20","Erythromma lindenii","Occupancy",21,0.269,0.453,0.288,0.021,0.306,0.043,0.009,0.02,0.453,0.289,-0.164
"21","Erythromma viridulum","Occupancy",21,0.187,0.293,0.255,0.032,0.246,0.03,0.006,0.013,0.187,0.293,0.106
"22","Gomphus vulgatissimus","Occupancy",21,0.228,0.34,0.324,0.031,0.313,0.029,0.006,0.013,0.228,0.329,0.101
"23","Ischnura elegans","Occupancy",21,0.86,0.902,0.887,0.019,0.885,0.013,0.003,0.006,0.879,0.861,-0.018
"24","Ischnura pumilio","Occupancy",21,0.463,0.552,0.509,0.036,0.511,0.025,0.005,0.011,0.544,0.526,-0.018
"25","Lestes dryas","Occupancy",21,0.025,0.126,0.06,0.074,0.069,0.037,0.008,0.017,0.122,0.025,-0.097
"26","Lestes sponsa","Occupancy",21,0.15,0.382,0.233,0.103,0.236,0.064,0.014,0.029,0.382,0.154,-0.228
"27","Lestes virens","Occupancy",21,0.166,0.247,0.188,0.032,0.193,0.022,0.005,0.01,0.247,0.166,-0.081
"28","Libellula depressa","Occupancy",21,0.455,0.551,0.522,0.045,0.517,0.025,0.006,0.012,0.532,0.487,-0.045
"29","Libellula fulva","Occupancy",21,0.394,0.491,0.441,0.04,0.445,0.026,0.006,0.012,0.49,0.394,-0.096
"30","Libellula quadrimaculata","Occupancy",21,0.159,0.325,0.187,0.072,0.21,0.053,0.011,0.024,0.325,0.179,-0.146
"31","Onychogomphus forcipatus","Occupancy",21,0.558,0.684,0.595,0.081,0.611,0.043,0.009,0.02,0.62,0.672,0.052
"32","Onychogomphus uncatus","Occupancy",21,0.133,0.179,0.146,0.023,0.151,0.015,0.003,0.007,0.139,0.179,0.04
"33","Ophiogomphus cecilia","Occupancy",21,0.144,0.236,0.203,0.065,0.19,0.035,0.008,0.016,0.22,0.145,-0.075
"34","Orthetrum albistylum","Occupancy",21,0.753,0.814,0.782,0.015,0.783,0.016,0.003,0.007,0.814,0.79,-0.024
"35","Orthetrum brunneum","Occupancy",21,0.479,0.593,0.532,0.068,0.536,0.037,0.008,0.017,0.498,0.546,0.048
"36","Orthetrum cancellatum","Occupancy",21,0.686,0.77,0.729,0.034,0.729,0.024,0.005,0.011,0.74,0.718,-0.022
"37","Orthetrum coerulescens","Occupancy",21,0.69,0.786,0.722,0.027,0.722,0.025,0.006,0.012,0.786,0.69,-0.096
"38","Oxygastra curtisii","Occupancy",21,0.066,0.183,0.11,0.059,0.113,0.039,0.009,0.018,0.066,0.183,0.117
"39","Platycnemis pennipes","Occupancy",21,0.778,0.873,0.813,0.014,0.817,0.021,0.005,0.01,0.873,0.778,-0.095
"40","Pyrrhosoma nymphula","Occupancy",21,0.239,0.479,0.35,0.169,0.355,0.089,0.019,0.041,0.467,0.241,-0.226
"41","Selysiothemis nigra","Occupancy",21,0.017,0.05,0.022,0.013,0.027,0.01,0.002,0.004,0.04,0.05,0.01
"42","Somatochlora flavomaculata","Occupancy",21,0.077,0.387,0.154,0.104,0.174,0.087,0.019,0.04,0.387,0.081,-0.306
"43","Somatochlora metallica","Occupancy",21,0.305,0.647,0.478,0.197,0.478,0.117,0.025,0.053,0.647,0.305,-0.342
"44","Stylurus flavipes","Occupancy",21,0.171,0.2,0.186,0.012,0.184,0.009,0.002,0.004,0.193,0.191,-0.002
"45","Sympecma fusca","Occupancy",21,0.188,0.521,0.242,0.08,0.278,0.091,0.02,0.041,0.521,0.295,-0.226
"46","Sympecma paedisca","Occupancy",21,0.024,0.105,0.049,0.048,0.059,0.029,0.006,0.013,0.024,0.083,0.059
"47","Sympetrum depressiusculum","Occupancy",21,0.151,0.372,0.243,0.074,0.256,0.062,0.013,0.028,0.372,0.151,-0.221
"48","Sympetrum fonscolombii","Occupancy",21,0.618,0.821,0.774,0.026,0.765,0.041,0.009,0.019,0.618,0.799,0.181
"49","Sympetrum meridionale","Occupancy",21,0.065,0.27,0.109,0.072,0.122,0.055,0.012,0.025,0.27,0.065,-0.205
"50","Sympetrum pedemontanum","Occupancy",21,0.378,0.678,0.442,0.078,0.469,0.08,0.017,0.036,0.678,0.378,-0.3
"51","Sympetrum sanguineum","Occupancy",21,0.349,0.612,0.484,0.119,0.481,0.079,0.017,0.036,0.612,0.368,-0.244
"52","Sympetrum striolatum","Occupancy",21,0.462,0.715,0.579,0.134,0.574,0.083,0.018,0.038,0.498,0.701,0.203
"53","Trithemis annulata","Occupancy",21,0.001,0.703,0.006,0.171,0.135,0.22,0.048,0.1,0.003,0.703,0.7
