"","Anno","Group","Occupancy","Lower","Upper"
"2",2005,1,100,90.4577216152581,110.094623848438
"3",2006,1,98.1304377554167,91.1969062658425,105.518608870914
"4",2007,1,96.3452657584415,90.7349158592272,102.192277943284
"5",2008,1,94.7961400598864,89.6261388833508,99.8823259102084
"6",2009,1,93.4848470226569,88.7021580701203,98.2191604463937
"7",2010,1,93.6845911415703,88.9793523140895,98.3115585277167
"8",2011,1,93.0078881268674,88.6097599887973,97.4799757958093
"9",2012,1,93.7301741950227,89.3489446393816,98.1267623650706
"10",2013,1,93.8333109866867,89.4413427207047,98.2191604463936
"11",2014,1,94.095701004737,89.9033331273199,98.4039566090397
"12",2015,1,94.6735175395175,90.6425177779042,98.6811508530089
"13",2016,1,91.1366421839129,87.1313906876286,95.1700237627333
"14",2017,1,92.0112413559032,88.0068625081644,96.0016064946407
"15",2018,1,91.4376135341426,87.4085849315977,95.2624218440563
"16",2019,1,90.2424546186825,86.2998079557212,94.1536448681798
"17",2020,1,89.6910228693468,85.6530213864599,93.7840525428876
"18",2021,1,89.410954018403,85.3758271424908,93.4144602175955
"19",2022,1,89.2924791452401,85.2834290611678,93.278173047644
"20",2023,1,87.8532660976451,83.8050597599991,91.9360909164268
"21",2024,1,87.7270708514648,83.620263597353,91.8436928351038
"22",2025,1,85.1504784885972,80.7559230763387,89.6261388833507
"23",2005,2,100,92.8580430855524,106.313224231169
"31",2006,2,95.3125118205283,90.4315653606179,99.8477475767816
"41",2007,2,91.3449511316242,87.4980624394285,95.0500216572189
"51",2008,2,88.382145373299,85.125003440528,91.7715605221489
"61",2009,2,86.0840576952825,83.0797000149209,89.0553541136402
"71",2010,2,84.6064736011297,81.7397048533899,87.4980624394285
"81",2011,2,83.677217136679,80.8705188026671,86.5202281323653
"91",2012,2,82.8254067589518,80.1099810082847,85.5423938253022
"101",2013,2,81.4846067955217,78.8424180176472,84.1127638522904
"111",2014,2,81.6995452386389,79.1321467012215,84.2023986637712
"121",2015,2,81.4211481658,78.9872823594344,83.8592512541629
"131",2016,2,80.7507964721993,78.3353928213923,83.0797000149209
"141",2017,2,80.5530807897166,78.226744565052,82.9348356731338
"151",2018,2,80.800307885014,78.4802571631794,83.1883482712613
"161",2019,2,80.5558332122104,78.1543123941584,82.9348356731338
"171",2020,2,79.7667893345718,77.3023289840228,82.1933113236109
"181",2021,2,79.9373992891021,77.5386389415631,82.3191622205384
"191",2022,2,79.7144691631296,77.2851263434356,82.0846630672705
"201",2023,2,80.4964871201916,78.1352989492988,82.7899713313466
"211",2024,2,79.499884832848,76.9953976598613,82.0294335369642
"221",2025,2,77.8402304051255,75.1483773020753,80.5273713930588
"24",2005,3,100,92.9657230478458,107.510309586317
"32",2006,3,100.12660576363,95.0435211247702,105.243620775126
"42",2007,3,99.4570370823293,95.4527843823462,103.480640588645
"52",2008,3,98.9745401874831,95.4842661713905,102.473223339227
"62",2009,3,98.2485631361685,95.0435211247702,101.654696824075
"72",2010,3,97.0478477020184,93.9416585082193,100.175052738993
"82",2011,3,95.8403112135753,92.9342412588014,98.8528175991316
"92",2012,3,95.3275987972,92.4620144231368,98.3491089744227
"102",2013,3,94.4207133941303,91.6749696970291,97.2787281469162
"112",2014,3,94.5738268241352,91.8638604312949,97.2787281469162
"122",2015,3,93.1033894133599,90.5731070804782,95.6416751166121
"132",2016,3,92.2386196480783,89.6916169872376,94.8546303905043
"142",2017,3,91.6682325941736,89.1564265734843,94.1935128205738
"152",2018,3,91.754079934921,89.2658257904133,94.2564763986625
"162",2019,3,92.6632879944265,90.2268074009908,95.2009300699917
"172",2020,3,91.2706595742629,88.8565625328373,93.8157313520421
"182",2021,3,90.8657967712,88.4008636364209,93.3120227273332
"192",2022,3,87.9908028401893,85.4415754662558,90.5896350197265
"202",2023,3,88.3262517963858,85.7563933566989,90.95088854901
"212",2024,3,88.7880056902287,86.071211247142,91.5026069020115
"222",2025,3,90.3973967218919,87.5823371212688,93.1546137821116
"25",2005,4,100,77.7808971957455,123.805096719855
"33",2006,4,81.657157555665,66.1540337909673,98.7219079792154
"43",2007,4,69.3633267927831,57.639556879007,82.8435591433976
"53",2008,4,63.0305503522639,53.1579504503468,74.3290822314373
"63",2009,4,59.2614241012367,50.3964984789002,69.0362992861646
"73",2010,4,56.9943231706787,49.0157724931769,65.5844843218564
"83",2011,4,53.2785338530999,45.5639575288687,61.6724273623071
"93",2012,4,52.5585108205449,45.3338365312481,60.5218223742043
"103",2013,4,53.4391071714399,46.4844415193509,60.7519433718249
"113",2014,4,48.6054411854199,41.8820215669399,55.9194024217934
"123",2015,4,46.5387500747893,40.0410535859755,53.3880714479673
"133",2016,4,44.6119213927125,38.2000856050111,51.3169824693824
"143",2017,4,43.8243962008556,37.5097226121495,50.3964984789002
"153",2018,4,45.8366764800488,40.0410535859755,52.1281589859947
"163",2019,4,42.6133460973778,36.3591176240467,49.0157724931769
"173",2020,4,39.2092940245759,33.137423657359,45.5639575288687
"183",2021,4,39.3082971915522,33.3675446549796,45.5639575288687
"193",2022,4,36.4746895028517,30.606092683533,42.5723845598015
"203",2023,4,38.6808850760397,32.9073026597385,44.6434735383865
"213",2024,4,41.7700804860972,35.8988756288056,47.8651675050741
"223",2025,4,41.2783886211813,35.208512635944,47.4049255098331
