"","Anno","Group","Occupancy","Lower","Upper"
"2",2005,1,100,92.6995393832762,107.27387281465
"3",2006,1,99.1632750899785,94.0552913303808,104.223430933665
"4",2007,1,97.2185807310741,93.0384773700523,101.59666153615
"5",2008,1,96.089013400478,92.275866899806,99.7325026088812
"6",2009,1,95.0127911430229,91.3437874361716,98.5462196551647
"7",2010,1,94.2394288066407,90.6659114626193,97.8683436816124
"8",2011,1,94.158648586459,90.7506459593134,97.5294056948363
"9",2012,1,93.0490597671945,89.5643630055968,96.5973262312019
"10",2013,1,92.7130780728589,89.3504084014444,96.0889192510377
"11",2014,1,93.5253241282797,90.1575044824551,96.936264217978
"12",2015,1,91.6970926276093,88.503063434504,94.8179018006271
"13",2016,1,91.6812566916717,88.5475490452684,94.8179018006271
"14",2017,1,90.1299186963087,87.0223281047758,93.2079463634404
"15",2018,1,89.9515431658238,86.8528591113877,93.0384773700523
"16",2019,1,88.9860218208272,85.7513106543652,92.1063979064179
"17",2020,1,88.7072829864806,85.4971071642831,91.9369289130299
"18",2021,1,89.2519563312298,86.0902486411413,92.3606013965001
"19",2022,1,87.9195157856602,84.7344966940367,91.0048494493955
"20",2023,1,89.2144095342501,86.1749831378354,92.3606013965001
"21",2024,1,88.6626184917785,85.4526215535187,91.9369289130299
"22",2025,1,87.823200907751,84.3955587072606,91.0895839460895
"23",2005,2,100,94.3576506368053,106.047805552958
"31",2006,2,96.3836827770709,92.4408747235923,100.572651325102
"41",2007,2,93.6783052396601,90.4369726325059,96.971435973005
"51",2008,2,91.4980081342283,88.6501599346206,94.3866926960964
"61",2009,2,89.8860318601704,87.2561410886475,92.4989588421745
"71",2010,2,88.5914659327931,86.08066373884,91.0758979369103
"81",2011,2,87.2415135714515,84.8899393079046,89.6528370316461
"91",2012,2,86.7291406538565,84.3381401813736,89.1591220236973
"101",2013,2,85.8986603801594,83.641130758387,88.2007340670907
"111",2014,2,85.7258020432584,83.5540045805137,87.9683975927619
"121",2015,2,85.0541624725093,83.0312475132738,87.184261991902
"131",2016,2,84.6255339463264,82.6246586831983,86.7195890432443
"141",2017,2,84.1166783447998,82.0438174973761,86.2258740352955
"151",2018,2,84.3910419058186,82.3480330684505,86.41537347217
"161",2019,2,84.1860114210144,82.0728595566673,86.2258740352955
"171",2020,2,83.3047785352587,81.1725557186429,85.3836543158534
"181",2021,2,83.3252499601634,81.2306398372252,85.3546122565623
"191",2022,2,81.6237015214621,79.5171583390499,83.7572989955514
"201",2023,2,82.0735694736725,79.8947051098343,84.2219719442091
"211",2024,2,83.0602573036099,80.8240510071496,85.3255701972712
"221",2025,2,82.3569360730713,80.0108733469987,84.7447290114491
"24",2005,3,100,88.5379896861425,113.64821143875
"32",2006,3,97.842739390426,89.6267655350721,107.299648880016
"42",2007,3,95.2206694812369,88.5748081931111,102.250253638603
"52",2008,3,93.6136994456574,87.8366847915019,99.585295038969
"62",2009,3,91.9432067711767,86.5410239986533,97.4813803550471
"72",2010,3,90.5194019895238,85.3119871707956,95.8350671148782
"82",2011,3,89.8004865497512,84.9613347234753,94.9935012413094
"92",2012,3,89.532572495445,84.7176312725877,94.3623268361329
"102",2013,3,87.7321825699237,82.8942385465221,92.5021156030986
"112",2014,3,87.3848652169912,82.6838470781299,92.1514631557783
"122",2015,3,86.3291519977054,81.9825421834892,90.9259328523938
"132",2016,3,84.2190502461576,79.7383665206392,88.5748081931111
"142",2017,3,84.8037203445426,80.579932394208,89.1358521088236
