,,,,Bayesian model,,,Multiseason model,,
Species,Temp,HV,IW,range,trend,delta,range,trend,delta
Aeshna affinis,10.9 (2),4.1 (4),4.0 (4),0.19-0.49,decrease,-0.21,0.16-0.53,decrease,-0.27
Aeshna cyanea,8.8 (1),3.0 (3),2.0 (2),0.51-0.6,decrease,-0.09,0.45-0.66,decrease,-0.21
Aeshna isoceles,10.4 (2),3.7 (3),4.0 (4),0.2-0.56,decrease,-0.32,0.18-0.61,decrease,-0.38
Aeshna mixta,10.3 (2),3.5 (3),3.0 (3),0.51-0.55,stable,-0.01,0.49-0.55,decrease,-0.02
Anax ephippiger,13.1 (3),3.5 (3),3.0 (3),0.17-0.5,increase,0.3,0.09-0.5,increase,0.4
Anax imperator,11.4 (3),3.0 (3),1.0 (1),0.4-0.79,increase,0.07,0.38-0.78,increase,0.03
Anax parthenope,11.8 (3),3.5 (3),3.0 (3),0.53-0.72,increase,0.15,0.52-0.71,increase,0.14
Boyeria irene,12.5 (3),1.3 (1),4.0 (4),0.09-0.17,increase,0.03,0.09-0.17,increase,0.05
Calopteryx splendens,9.4 (2),1.1 (1),4.0 (4),0.77-0.88,decrease,-0.09,0.78-1,decrease,-0.11
Calopteryx virgo,8.9 (1),1.0 (1),5.0 (5),0.48-0.56,decrease,-0.06,0.45-0.57,decrease,-0.11
Ceriagrion tenellum,12.2 (3),3.3 (3),3.0 (3),0.22-0.26,stable,0.01,0.21-0.27,decrease,-0.01
Chalcolestes viridis,10.6 (2),2.5 (2),1.0 (1),0.51-0.77,decrease,-0.20,0.44-0.79,decrease,-0.35
Coenagrion puella,9.3 (2),3.2 (3),1.0 (1),0.44-0.82,decrease,-0.27,0.42-0.92,decrease,-0.38
Coenagrion pulchellum,8.3 (1),3.5 (3),3.0 (3),0.06-0.31,decrease,-0.24,0.03-0.74,decrease,-0.57
Coenagrion scitulum,12.1 (3),3.2 (3),3.0 (3),0.04-0.16,increase,0.12,0-0.16,increase,0.15
Cordulegaster boltonii,8.8 (1),1.0 (1),5.0 (5),0.27-0.31,stable,0.00,0.23-0.58,decrease,-0.24
Cordulia aenea,7.3 (1),3.5 (3),3.0 (3),0.16-0.44,decrease,-0.18,0.17-0.56,stable,-0.22
Crocothemis erythraea,12.2 (3),3.0 (3),2.0 (2),0.65-0.82,increase,0.11,0.55-0.82,increase,0.18
Enallagma cyathigerum,8.5 (1),3.2 (3),2.0 (2),0.19-0.26,stable,0.04,0.18-0.25,stable,0.03
Erythromma lindenii,12.1 (3),2.5 (2),2.0 (2),0.27-0.57,stable,-0.16,0.26-0.66,stable,-0.22
Erythromma viridulum,10.6 (2),2.9 (3),3.0 (3),0.18-0.29,increase,0.10,0.16-0.27,increase,0.08
Gomphus vulgatissimus,8.6 (1),1.3 (1),4.0 (4),0.17-0.34,increase,0.10,0.13-0.34,increase,0.12
Ischnura elegans,9.8 (2),2.7 (2),1.0 (1),0.76-0.9,decrease,-0.02,0.8-0.89,stable,0.02
Ischnura pumilio,10.5 (2),2.7 (2),2.0 (2),0.46-0.63,decrease,-0.01,0.39-0.7,decrease,-0.19
Lestes dryas,9.1 (1),4.8 (4),4.0 (4),0.03-0.13,decrease,-0.09,0.02-0.07,decrease,-0.04
Lestes sponsa,7.6 (1),3.9 (4),2.0 (2),0.15-0.81,decrease,-0.23,0.13-0.94,decrease,-0.28
Lestes virens,10.2 (2),4.6 (4),3.0 (3),0.17-0.27,decrease,-0.08,0.13-0.63,decrease,-0.26
Libellula depressa,9.7 (2),3.3 (3),2.0 (2),0.46-0.55,decrease,-0.04,0.45-0.53,decrease,-0.01
Libellula fulva,10.3 (2),2.2 (2),3.0 (3),0.39-0.5,decrease,-0.10,0.34-0.51,decrease,-0.16
Libellula quadrimaculata,7.9 (1),3.6 (3),3.0 (3),0.16-0.34,decrease,-0.14,0.17-0.32,decrease,-0.1
Onychogomphus forcipatus,10.3 (2),1.1 (1),5.0 (5),0.56-0.68,increase,0.05,0.57-0.66,increase,0.01
Onychogomphus uncatus,12.8 (3),1.1 (1),5.0 (5),0.13-0.18,increase,0.04,0.14-0.16,increase,0.02
Ophiogomphus cecilia,7.5 (1),1.0 (1),5.0 (5),0.14-0.24,decrease,-0.07,0.08-0.27,decrease,-0.17
Orthetrum albistylum,9.9 (2),3.0 (3),2.0 (2),0.75-0.82,decrease,-0.02,0.72-0.85,decrease,-0.08
Orthetrum brunneum,11.7 (3),1.8 (2),3.0 (3),0.48-0.59,increase,0.05,0.47-0.57,increase,0.02
Orthetrum cancellatum,10.4 (2),2.7 (2),2.0 (2),0.69-0.77,stable,-0.02,0.62-0.75,increase,0.08
Orthetrum coerulescens,11.3 (3),2.2 (2),2.0 (2),0.68-0.79,decrease,-0.10,0.65-0.83,decrease,-0.18
Oxygastra curtisii,12.2 (3),2.0 (2),4.0 (4),0.06-0.18,increase,0.11,0.06-0.17,increase,0.11
Platycnemis pennipes,9.4 (2),1.8 (2),2.0 (2),0.78-0.91,decrease,-0.09,0.78-0.95,stable,-0.10
Pyrrhosoma nymphula,8.8 (1),2.5 (2),2.0 (2),0.24-0.48,decrease,-0.23,0.23-0.44,decrease,-0.14
Selysiothemis nigra,15.2 (4),3.5 (3),3.0 (3),0.02-0.15,increase,0.01,0.03-0.06,increase,0.03
Somatochlora flavomaculata,7.8 (1),3.6 (3),3.0 (3),0.08-0.46,decrease,-0.31,0.09-0.41,decrease,-0.26
Somatochlora metallica,6.4 (1),2.2 (2),2.0 (2),0.3-0.65,decrease,-0.35,0.19-0.7,decrease,-0.50
Stylurus flavipes,9.1 (1),1.0 (1),5.0 (5),0.17-0.2,stable,0.00,0.17-0.22,decrease,-0.05
Sympecma fusca,10.8 (2),3.4 (3),2.0 (2),0.19-0.6,stable,-0.23,0.17-0.62,decrease,-0.28
Sympecma paedisca,6.8 (1),3.5 (3),2.0 (2),0.02-0.11,increase,0.06,0.02-0.11,increase,0.07
