"","species","variable","n","min","max","median","iqr","mean","sd","se","ci","y2005","y2025","delta"
"1","Aeshna affinis","Occupancy",21,0.16,0.501,0.227,0.183,0.279,0.114,0.025,0.052,0.501,0.227,-0.274
"2","Aeshna cyanea","Occupancy",21,0.448,0.655,0.558,0.078,0.558,0.06,0.013,0.027,0.655,0.448,-0.207
"3","Aeshna isoceles","Occupancy",21,0.176,0.578,0.269,0.214,0.314,0.133,0.029,0.06,0.578,0.197,-0.381
"4","Aeshna mixta","Occupancy",21,0.495,0.546,0.517,0.023,0.521,0.016,0.003,0.007,0.525,0.513,-0.012
"5","Anax ephippiger","Occupancy",21,0.092,0.498,0.205,0.198,0.238,0.118,0.026,0.054,0.097,0.498,0.401
"6","Anax imperator","Occupancy",21,0.738,0.779,0.762,0.01,0.761,0.009,0.002,0.004,0.738,0.769,0.031
"7","Anax parthenope","Occupancy",21,0.521,0.714,0.588,0.12,0.598,0.062,0.014,0.028,0.569,0.714,0.145
"8","Boyeria irene","Occupancy",21,0.095,0.166,0.108,0.025,0.114,0.021,0.005,0.009,0.123,0.166,0.043
"9","Calopteryx splendens","Occupancy",21,0.78,0.899,0.811,0.04,0.815,0.03,0.006,0.013,0.899,0.79,-0.109
"10","Calopteryx virgo","Occupancy",21,0.451,0.567,0.552,0.053,0.53,0.038,0.008,0.017,0.564,0.451,-0.113
"11","Ceriagrion tenellum","Occupancy",21,0.224,0.267,0.247,0.02,0.246,0.013,0.003,0.006,0.237,0.229,-0.008
"12","Chalcolestes viridis","Occupancy",21,0.439,0.788,0.567,0.142,0.579,0.096,0.021,0.044,0.788,0.439,-0.349
"13","Coenagrion puella","Occupancy",21,0.417,0.802,0.501,0.118,0.531,0.1,0.022,0.045,0.802,0.424,-0.378
"14","Coenagrion pulchellum","Occupancy",21,0.032,0.596,0.105,0.174,0.171,0.16,0.035,0.073,0.596,0.032,-0.564
"15","Coenagrion scitulum","Occupancy",21,0.012,0.16,0.091,0.063,0.086,0.043,0.009,0.02,0.012,0.16,0.148
"16","Cordulegaster boltonii","Occupancy",21,0.227,0.465,0.31,0.058,0.305,0.057,0.012,0.026,0.465,0.227,-0.238
"17","Cordulia aenea","Occupancy",21,0.165,0.417,0.181,0.027,0.206,0.064,0.014,0.029,0.417,0.196,-0.221
"18","Crocothemis erythraea","Occupancy",21,0.629,0.818,0.775,0.054,0.762,0.049,0.011,0.022,0.629,0.809,0.18
"19","Enallagma cyathigerum","Occupancy",21,0.205,0.254,0.239,0.015,0.236,0.012,0.003,0.006,0.205,0.24,0.035
"20","Erythromma lindenii","Occupancy",21,0.26,0.5,0.282,0.024,0.303,0.056,0.012,0.025,0.5,0.282,-0.218
"21","Erythromma viridulum","Occupancy",21,0.184,0.269,0.246,0.007,0.24,0.02,0.004,0.009,0.184,0.258,0.074
"22","Gomphus vulgatissimus","Occupancy",21,0.201,0.336,0.321,0.029,0.308,0.035,0.008,0.016,0.201,0.321,0.12
"23","Ischnura elegans","Occupancy",21,0.843,0.89,0.88,0.013,0.877,0.011,0.002,0.005,0.843,0.863,0.02
"24","Ischnura pumilio","Occupancy",21,0.388,0.622,0.486,0.137,0.499,0.073,0.016,0.033,0.622,0.433,-0.189
"25","Lestes dryas","Occupancy",21,0.02,0.067,0.038,0.027,0.041,0.016,0.004,0.007,0.064,0.02,-0.044
"26","Lestes sponsa","Occupancy",21,0.125,0.408,0.223,0.126,0.228,0.078,0.017,0.035,0.408,0.125,-0.283
"27","Lestes virens","Occupancy",21,0.126,0.392,0.203,0.099,0.216,0.071,0.016,0.032,0.392,0.126,-0.266
"28","Libellula depressa","Occupancy",21,0.451,0.53,0.504,0.028,0.503,0.019,0.004,0.009,0.499,0.485,-0.014
"29","Libellula fulva","Occupancy",21,0.34,0.508,0.455,0.097,0.443,0.051,0.011,0.023,0.496,0.34,-0.156
"30","Libellula quadrimaculata","Occupancy",21,0.17,0.301,0.196,0.051,0.21,0.04,0.009,0.018,0.301,0.204,-0.097
"31","Onychogomphus forcipatus","Occupancy",21,0.568,0.66,0.605,0.058,0.606,0.032,0.007,0.014,0.626,0.644,0.018
"32","Onychogomphus uncatus","Occupancy",21,0.137,0.156,0.143,0.011,0.145,0.007,0.001,0.003,0.137,0.155,0.018
"33","Ophiogomphus cecilia","Occupancy",21,0.081,0.266,0.191,0.15,0.177,0.073,0.016,0.033,0.26,0.087,-0.173
"34","Orthetrum albistylum","Occupancy",21,0.718,0.829,0.764,0.035,0.766,0.03,0.007,0.014,0.829,0.746,-0.083
"35","Orthetrum brunneum","Occupancy",21,0.474,0.574,0.521,0.046,0.525,0.031,0.007,0.014,0.499,0.519,0.02
"36","Orthetrum cancellatum","Occupancy",21,0.62,0.753,0.685,0.087,0.687,0.046,0.01,0.021,0.634,0.712,0.078
"37","Orthetrum coerulescens","Occupancy",21,0.651,0.827,0.715,0.063,0.717,0.048,0.01,0.022,0.827,0.651,-0.176
"38","Oxygastra curtisii","Occupancy",21,0.059,0.174,0.11,0.059,0.11,0.038,0.008,0.017,0.059,0.174,0.115
"39","Platycnemis pennipes","Occupancy",21,0.78,0.88,0.797,0.016,0.803,0.023,0.005,0.011,0.88,0.78,-0.1
"40","Pyrrhosoma nymphula","Occupancy",21,0.251,0.442,0.348,0.119,0.346,0.07,0.015,0.032,0.387,0.254,-0.133
"41","Selysiothemis nigra","Occupancy",21,0.033,0.059,0.034,0.005,0.038,0.007,0.002,0.003,0.033,0.059,0.026
"42","Somatochlora flavomaculata","Occupancy",21,0.09,0.352,0.15,0.071,0.166,0.072,0.016,0.033,0.352,0.093,-0.259
"43","Somatochlora metallica","Occupancy",21,0.194,0.693,0.433,0.307,0.442,0.174,0.038,0.079,0.693,0.194,-0.499
"44","Stylurus flavipes","Occupancy",21,0.167,0.216,0.185,0.02,0.187,0.014,0.003,0.006,0.216,0.168,-0.048
"45","Sympecma fusca","Occupancy",21,0.175,0.558,0.224,0.114,0.278,0.111,0.024,0.051,0.558,0.278,-0.28
"46","Sympecma paedisca","Occupancy",21,0.017,0.114,0.048,0.063,0.059,0.035,0.008,0.016,0.017,0.094,0.077
"47","Sympetrum depressiusculum","Occupancy",21,0.138,0.363,0.229,0.071,0.243,0.062,0.013,0.028,0.363,0.138,-0.225
"48","Sympetrum fonscolombii","Occupancy",21,0.557,0.819,0.755,0.038,0.75,0.056,0.012,0.025,0.557,0.811,0.254
"49","Sympetrum meridionale","Occupancy",21,0.067,0.226,0.108,0.055,0.115,0.043,0.009,0.02,0.226,0.067,-0.159
"50","Sympetrum pedemontanum","Occupancy",21,0.36,0.658,0.434,0.08,0.457,0.079,0.017,0.036,0.658,0.36,-0.298
"51","Sympetrum sanguineum","Occupancy",21,0.306,0.597,0.451,0.133,0.45,0.088,0.019,0.04,0.597,0.32,-0.277
"52","Sympetrum striolatum","Occupancy",21,0.441,0.699,0.563,0.144,0.555,0.085,0.018,0.039,0.47,0.682,0.212
"53","Trithemis annulata","Occupancy",21,0.001,0.683,0.013,0.223,0.148,0.221,0.048,0.101,0.001,0.683,0.682
