"","species","range_min","range_max","rhat","tau","Ptau","sens","Psen","m","occupancy_2005","occupancy_2025","trend"
"1","Aeshna affinis",0.18,0.51,1.08,-0.758,0,-0.017,0,-0.015,0.48,0.25,"decrease"
"2","Aeshna cyanea",0.49,0.66,1.01,-0.879,0,-0.008,0,-0.007,0.65,0.49,"decrease"
"3","Aeshna isoceles",0.19,0.59,1.04,-0.939,0,-0.016,0,-0.017,0.53,0.2,"decrease"
"4","Aeshna mixta",0.5,0.54,1.01,-0.307,0.048,-0.001,0.048,-0.001,0.54,0.53,"decrease"
"5","Anax ephippiger",0.16,0.51,1.27,0.81,0,0.015,0,0.014,0.19,0.51,"increase"
"6","Anax imperator",0.45,0.81,1.01,-0.238,0.128,-0.001,0.128,0.004,0.69,0.76,"stable"
"7","Anax parthenope",0.53,0.73,1.01,0.792,0,0.01,0,0.009,0.55,0.73,"increase"
"8","Boyeria irene",0.09,0.2,1.21,-0.1,0.535,-0.001,0.535,-0.002,0.17,0.14,"stable"
"9","Calopteryx splendens",0.78,0.9,1.01,-0.931,0,-0.006,0,-0.006,0.89,0.78,"decrease"
"10","Calopteryx virgo",0.44,0.57,1.03,-0.593,0,-0.005,0,-0.006,0.57,0.44,"decrease"
"11","Ceriagrion tenellum",0.18,0.22,1.01,0.221,0.159,0.001,0.159,0.001,0.18,0.2,"stable"
"12","Chalcolestes viridis",0.5,0.79,1.02,-0.957,0,-0.008,0,-0.01,0.7,0.5,"decrease"
"13","Coenagrion puella",0.43,0.86,1.02,-0.991,0,-0.016,0,-0.018,0.77,0.43,"decrease"
"14","Coenagrion pulchellum",0.06,0.22,1.02,-0.931,0,-0.008,0,-0.008,0.21,0.06,"decrease"
"15","Coenagrion scitulum",0.05,0.15,1.32,0.861,0,0.004,0,0.004,0.05,0.15,"increase"
"16","Cordulegaster boltonii",0.35,0.49,1.08,-1,0,-0.007,0,-0.007,0.49,0.35,"decrease"
"17","Cordulia aenea",0.14,0.47,1.16,-0.939,0,-0.008,0,-0.012,0.38,0.14,"decrease"
"18","Crocothemis erythraea",0.64,0.87,1.01,0.818,0,0.006,0,0.007,0.71,0.85,"increase"
"19","Enallagma cyathigerum",0.21,0.28,1.02,-0.913,0,-0.003,0,-0.004,0.28,0.22,"decrease"
"20","Erythromma lindenii",0.27,0.57,1.01,-0.169,0.284,-0.001,0.284,-0.006,0.45,0.29,"stable"
